City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,samraong,12.4526,105.5873,27.06,67,1,2.96,KH,1709753136
212,keflavik,64.0049,-22.5624,7.24,87,75,10.29,IS,1709753137
213,mazamari,-11.3258,-74.5308,32.38,47,88,0.78,PE,1709753137
214,carloforte,39.145,8.3058,12.94,68,1,4.5,IT,1709753137
215,komatipoort,-25.4332,31.9548,23.71,81,12,3.8,ZA,1709753138
216,colonia,50.9333,6.95,11.09,70,20,2.06,DE,1709752996
217,nemuro,43.3236,145.575,-3.65,68,1,7.05,JP,1709753138
218,nagqu,31.5,92.0,-6.22,28,100,2.49,CN,1709753139
219,kyshtovka,56.555,76.6271,-9.25,96,100,2.68,RU,1709753139
220,kailua-kona,19.6406,-155.9956,24.98,79,100,2.06,US,1709753140
221,dera ghazi khan,30.0561,70.6348,14.73,43,29,2.72,PK,1709753140
222,masterton,-40.9597,175.6575,12.16,88,98,1.16,NZ,1709753140
223,horta,38.5333,-28.6333,12.8,75,40,9.77,PT,1709753141
224,sena madureira,-9.0656,-68.6569,32.94,57,87,1.71,BR,1709753141
225,coquimbo,-29.9533,-71.3436,18.85,82,100,4.63,CL,1709753050
226,vieira de leiria,39.8695,-8.9324,14.12,60,0,4.12,PT,1709753142
227,kavaratti,10.5669,72.642,27.47,73,100,5.77,IN,1709753142
228,susuman,62.7833,148.1667,-32.23,100,91,1.34,RU,1709752959
229,nosy varika,-20.5833,48.5333,25.71,91,100,3.03,MG,1709753143
230,kill devil hills,36.0307,-75.676,17.0,97,75,5.14,US,1709753143
231,severo-yeniseyskiy,60.3725,93.0408,-10.79,95,100,2.68,RU,1709753144
232,kristiansund,63.1115,7.732,4.03,81,0,2.06,NO,1709753037
233,xifeng,42.7372,124.7222,-4.56,45,96,1.33,CN,1709752864
234,kisangani,0.5167,25.2,26.47,61,83,1.39,CD,1709753145
235,codrington,-38.2667,141.9667,12.84,89,91,3.66,AU,1709753145
236,santa cruz de bezana,43.4437,-3.9032,12.59,77,0,3.13,ES,1709753145
237,reguengos de monsaraz,38.4253,-7.5349,10.58,70,100,2.85,PT,1709753146
238,tsiombe,-25.3,45.4833,23.85,96,100,3.86,MG,1709753146
239,altai,46.3722,96.2583,-13.29,38,6,0.93,MN,1709753146
240,igarka,67.4667,86.5833,-14.73,93,98,5.86,RU,1709753147
241,tchintabaraden,15.8969,5.7985,31.33,8,0,5.33,NE,1709753147
242,uturoa,-16.7333,-151.4333,27.77,79,100,4.07,PF,1709753147
243,la ronge,55.1001,-105.2842,-15.86,66,75,2.06,CA,1709753148
244,singaraja,-8.112,115.0882,27.06,86,100,0.81,ID,1709753148
245,podzvizd,45.1742,15.8736,5.44,91,100,1.3,BA,1709753148
246,sheikhpura,25.15,85.85,16.66,21,0,3.77,IN,1709753149
247,itamaraca,-7.7478,-34.8256,30.03,68,34,3.28,BR,1709753149
